day,grand total
6/27/2023,4780
6/27/2023,1592
6/27/2023,6370
6/27/2023,7968
6/27/2023,11152
6/27/2023,7961
6/27/2023,1592
6/27/2023,3187
6/27/2023,6372
6/27/2023,6373
6/27/2023,9562
6/27/2023,3188
6/27/2023,1592
6/27/2023,1592
6/28/2023,12746
6/28/2023,3186
6/28/2023,1593
6/28/2023,4778
6/28/2023,3185
6/28/2023,3188
6/28/2023,1594
6/28/2023,1594
6/28/2023,4778
6/28/2023,14330
7/4/2023,27491
7/4/2023,16410
7/4/2023,13086
7/4/2023,5102
7/4/2023,11369
7/4/2023,8117
7/4/2023,9181
7/4/2023,6099
7/4/2023,3145
7/6/2023,1593
7/6/2023,1593
7/6/2023,4779
7/6/2023,12746
7/6/2023,11152
7/6/2023,9557
7/6/2023,17520
7/6/2023,12749
7/6/2023,4779
7/6/2023,1592
7/6/2023,1594
7/6/2023,12745
7/6/2023,7967
7/6/2023,1594
7/6/2023,9560
7/6/2023,6373
7/6/2023,7968
7/6/2023,6370
7/6/2023,7964
7/6/2023,11157
7/7/2023,983
7/7/2023,2084
7/7/2023,2039
7/7/2023,2077
7/7/2023,1033
7/7/2023,983
7/7/2023,14258
7/7/2023,977
7/7/2023,10151
7/7/2023,15415
7/11/2023,1594
7/11/2023,3188
7/11/2023,1593
7/11/2023,14339
7/11/2023,1594
7/11/2023,9559
7/11/2023,12745
7/11/2023,7965
7/11/2023,1593
7/11/2023,6372
7/11/2023,6375
7/11/2023,1594
7/11/2023,11151
7/11/2023,1594
7/11/2023,4780
7/11/2023,7967
7/11/2023,6372
7/11/2023,1593
7/11/2023,17519
7/11/2023,1593
7/11/2023,4779
7/11/2023,1593
7/11/2023,4779
7/11/2023,15939
7/11/2023,9559
7/11/2023,17528
7/11/2023,12756
7/11/2023,9556
7/11/2023,3184
7/11/2023,9278
7/11/2023,10261
7/11/2023,18381
7/11/2023,6961
7/11/2023,5119
7/14/2023,18466
7/14/2023,1030
7/14/2023,1030
7/14/2023,18270
7/14/2023,2036
7/14/2023,20000
7/14/2023,4175
7/14/2023,1035
7/14/2023,4195
7/14/2023,23542
7/14/2023,4124
7/14/2023,3127
7/18/2023,4780
7/18/2023,20717
7/18/2023,4782
7/18/2023,1594
7/18/2023,1594
7/18/2023,15941
7/18/2023,9557
7/18/2023,9560
7/18/2023,6376
7/18/2023,14338
7/18/2023,11153
7/18/2023,10091
7/18/2023,8391
7/18/2023,7249
7/18/2023,8306
7/18/2023,2950
7/18/2023,13013
7/20/2023,1013
7/20/2023,4199
7/20/2023,12295
7/20/2023,12103
7/20/2023,6120
7/20/2023,5169
7/20/2023,2089
7/20/2023,7012
7/21/2023,9565
7/21/2023,15934
7/21/2023,3187
7/21/2023,1594
7/21/2023,12750
7/21/2023,4782
7/21/2023,9562
7/21/2023,12745
7/21/2023,3184
7/21/2023,4784
7/21/2023,3187
7/21/2023,7969
7/21/2023,3187
7/21/2023,9559
7/21/2023,12746
7/21/2023,7970
7/21/2023,1593
7/21/2023,1017
7/21/2023,4019
7/21/2023,13289
7/21/2023,18413
7/21/2023,1011
7/21/2023,4190
7/21/2023,5980
7/21/2023,2081
7/25/2023,14343
7/25/2023,1593
7/25/2023,14339
7/25/2023,15940
7/25/2023,4782
7/25/2023,1595
7/27/2023,6095
7/27/2023,19301
7/27/2023,6106
7/27/2023,16468
7/27/2023,2030
7/28/2023,3187
7/28/2023,9563
7/28/2023,6375
7/28/2023,6376
7/28/2023,1593
7/28/2023,7965
7/28/2023,12746
7/28/2023,3187
8/3/2023,12747
8/3/2023,12752
8/3/2023,9563
8/3/2023,12750
8/3/2023,9566
8/3/2023,1593
8/3/2023,3186
8/3/2023,1594
8/3/2023,15933
8/3/2023,5190
8/3/2023,19380
8/3/2023,19474
8/3/2023,5956
8/4/2023,4781
8/4/2023,1594
8/4/2023,14335
8/7/2023,19273
8/7/2023,4064
8/7/2023,2987
8/7/2023,2076
8/7/2023,4098
8/7/2023,9284
8/7/2023,8218
8/9/2023,3186
8/9/2023,1593
8/9/2023,6373
8/9/2023,15931
8/9/2023,1592
8/9/2023,12744
8/9/2023,9558
8/9/2023,2017
8/9/2023,6025
8/9/2023,15424
8/9/2023,5975
8/9/2023,6009
8/9/2023,11129
8/9/2023,12250
8/9/2023,13104
8/9/2023,3067
8/9/2023,3009
8/9/2023,14019
8/9/2023,7972
8/12/2023,1593
8/12/2023,4778
8/12/2023,12743
8/12/2023,6373
8/12/2023,14335
8/12/2023,6374
8/12/2023,4777
8/12/2023,1033
8/12/2023,17227
8/12/2023,7100
8/12/2023,9403
8/12/2023,15237
8/16/2023,3188
8/16/2023,12749
8/16/2023,6378
8/16/2023,1595
8/16/2023,14342
8/16/2023,3186
8/16/2023,1595
8/16/2023,6377
8/16/2023,6003
8/16/2023,2988
8/16/2023,15583
8/16/2023,25426
8/19/2023,11154
8/19/2023,12750
8/19/2023,7974
8/19/2023,3188
8/19/2023,8299
8/19/2023,16394
8/19/2023,25379
8/21/2023,6374
8/21/2023,17532
8/21/2023,1591
8/21/2023,3189
8/21/2023,9559
8/21/2023,6379
8/21/2023,6372
8/21/2023,9565
8/21/2023,4778
8/23/2023,1593
8/23/2023,4777
8/23/2023,11153
8/23/2023,12744
8/23/2023,4777
8/23/2023,15933
8/23/2023,15192
8/23/2023,16497
8/23/2023,8225
8/23/2023,6096
8/23/2023,3990
8/26/2023,7972
8/26/2023,1594
8/26/2023,14349
8/26/2023,3189
8/26/2023,6375
8/26/2023,11158
8/26/2023,4783
9/1/2023,4782
9/1/2023,12756
9/1/2023,7971
9/1/2023,14346
9/1/2023,6379
9/1/2023,15935
9/1/2023,6378
9/1/2023,11155
9/1/2023,18325
9/1/2023,9077
9/1/2023,9272
9/1/2023,3102
9/1/2023,10224
9/1/2023,20001
9/1/2023,10082
9/1/2023,14989
9/1/2023,4928
9/2/2023,4780
9/2/2023,4785
9/2/2023,11164
9/5/2023,22033
9/5/2023,20088
9/7/2023,7934
9/8/2023,11156
9/8/2023,14356
9/8/2023,7971
9/8/2023,14354
9/8/2023,1595
9/8/2023,5053
9/8/2023,12224
9/8/2023,7988
9/8/2023,24735
9/12/2023,5180
9/12/2023,20211
9/12/2023,3057
9/12/2023,1006
9/12/2023,20546
9/13/2023,6375
9/13/2023,6375
9/13/2023,7970
9/13/2023,7969
9/13/2023,3190
9/13/2023,9570
9/13/2023,5086
9/13/2023,25518
9/13/2023,19396
9/14/2023,7970
9/14/2023,7967
9/14/2023,4783
9/14/2023,7964
9/14/2023,12753
9/14/2023,7967
9/14/2023,9558
9/15/2023,14340
9/15/2023,4786
9/15/2023,4782
9/15/2023,1594
9/15/2023,14345
9/15/2023,9564
9/16/2023,2002
9/16/2023,12470
9/16/2023,1997
9/16/2023,7117
9/16/2023,1007
9/16/2023,10104
9/16/2023,11179
9/16/2023,4124
9/18/2023,6377
9/18/2023,15934
9/18/2023,3187
9/18/2023,9558
9/18/2023,4775
9/18/2023,11154
9/20/2023,1009
9/20/2023,1988
9/20/2023,2020
9/20/2023,16034
9/20/2023,8014
9/20/2023,11860
9/20/2023,9075
9/21/2023,6378
9/21/2023,12754
9/21/2023,3188
9/21/2023,1594
9/21/2023,1593
9/21/2023,9567
9/21/2023,11157
9/21/2023,3188
9/22/2023,2091
9/22/2023,8115
9/22/2023,2049
9/22/2023,12464
9/22/2023,25281
9/25/2023,4784
9/25/2023,6377
9/25/2023,11166
9/25/2023,1595
9/25/2023,3189
9/25/2023,6379
9/25/2023,3188
9/25/2023,12763
9/26/2023,12760
9/26/2023,12763
9/26/2023,15960
9/26/2023,1596
9/26/2023,10421
9/26/2023,4027
9/26/2023,5152
9/26/2023,5148
9/26/2023,10915
9/26/2023,2099
9/26/2023,1009
9/26/2023,9153
9/26/2023,2076
9/30/2023,11158
9/30/2023,1594
9/30/2023,3189
9/30/2023,3189
9/30/2023,3189
9/30/2023,12760
9/30/2023,3189
9/30/2023,1594
9/30/2023,11158
9/30/2023,3189
9/30/2023,12760
9/30/2023,3189
9/30/2023,1594
9/30/2023,11158
10/2/2023,1039
10/2/2023,7979
10/2/2023,4788
10/2/2023,12759
10/2/2023,12762
10/2/2023,9572
10/2/2023,1596
10/2/2023,6385
10/2/2023,1595
10/2/2023,1027
10/2/2023,1028
10/2/2023,2061
10/2/2023,9293
10/2/2023,7156
10/2/2023,7170
10/2/2023,3927
10/2/2023,2995
10/2/2023,4030
10/2/2023,4048
10/2/2023,1027
10/2/2023,1028
10/2/2023,2061
10/2/2023,9293
10/2/2023,7156
10/2/2023,7170
10/2/2023,1039
10/2/2023,6111
10/2/2023,15119
10/2/2023,6226
10/2/2023,2063
10/2/2023,19551
10/2/2023,1023
10/2/2023,6138
10/3/2023,1594
10/4/2023,1594
10/4/2023,14366
10/4/2023,1593
10/5/2023,12131
10/5/2023,9269
10/5/2023,970
10/5/2023,6098
10/5/2023,6181
10/5/2023,4163
10/5/2023,2096
10/5/2023,9092
10/6/2023,15955
10/6/2023,4782
10/6/2023,12118
10/6/2023,12855
10/6/2023,2001
10/6/2023,17131
10/6/2023,5895
10/10/2023,3181
10/10/2023,11145
10/10/2023,1594
10/10/2023,8999
10/10/2023,4961
10/10/2023,8861
10/10/2023,972
10/10/2023,1030
10/10/2023,9992
10/10/2023,13102
10/10/2023,2083
10/13/2023,1591
10/13/2023,11140
10/13/2023,3181
10/13/2023,4774
10/13/2023,4770
10/13/2023,14323
10/13/2023,6149
10/13/2023,18493
10/13/2023,12184
10/13/2023,13174
10/14/2023,5082
10/14/2023,10401
10/14/2023,10175
10/14/2023,24342
10/17/2023,4900
10/17/2023,7029
10/17/2023,982
10/17/2023,7014
10/17/2023,13064
10/17/2023,1977
10/17/2023,1007
10/17/2023,972
10/17/2023,7915
10/17/2023,5140
10/18/2023,11155
10/18/2023,6380
10/18/2023,7965
10/18/2023,4779
10/18/2023,1594
10/18/2023,11151
10/18/2023,6377
10/18/2023,1595
10/19/2023,14991
10/19/2023,7277
10/19/2023,2034
10/19/2023,16483
10/19/2023,1008
10/19/2023,8207
10/20/2023,9071
10/20/2023,1995
10/20/2023,5067
10/20/2023,22612
10/20/2023,2086
10/20/2023,8165
10/20/2023,1004
10/24/2023,4785
10/24/2023,4786
10/24/2023,12758
10/24/2023,9573
10/24/2023,1594
10/24/2023,15951
10/24/2023,15954
10/24/2023,1594
10/24/2023,7967
10/24/2023,15958
10/24/2023,4788
10/24/2023,1595
10/24/2023,1592
10/24/2023,25004
10/24/2023,2991
10/24/2023,2005
10/24/2023,6992
10/24/2023,13020
10/25/2023,7973
10/25/2023,11170
10/25/2023,6379
10/25/2023,1597
10/25/2023,3194
10/25/2023,12750
10/25/2023,7979
10/27/2023,14616
10/27/2023,10111
10/27/2023,25273
11/1/2023,7973
11/1/2023,14358
11/1/2023,1594
11/1/2023,3194
11/1/2023,1596
11/1/2023,17548
11/1/2023,1595
11/1/2023,1593
11/1/2023,1596
11/1/2023,12758
11/1/2023,3193
11/1/2023,1593
11/1/2023,15936
11/1/2023,3188
11/1/2023,1594
11/1/2023,5121
11/1/2023,25060
11/1/2023,1019
11/1/2023,16882
11/1/2023,12273
11/2/2023,1597
11/2/2023,3189
11/2/2023,7976
11/2/2023,3190
11/2/2023,11168
11/2/2023,1597
11/2/2023,15957
11/2/2023,6377
11/2/2023,9574
11/2/2023,4784
11/2/2023,3187
11/2/2023,17552
11/2/2023,9574
11/2/2023,4031
11/2/2023,7981
11/2/2023,12126
11/2/2023,15507
11/3/2023,17548
11/3/2023,4783
11/3/2023,3190
11/3/2023,4872
11/3/2023,17269
11/3/2023,8275
11/3/2023,15481
11/3/2023,23423
11/3/2023,1043
11/3/2023,29638
11/8/2023,1598
11/8/2023,17551
11/8/2023,3190
11/8/2023,14355
11/8/2023,6381
11/8/2023,12752
11/8/2023,9559
11/8/2023,7977
11/8/2023,1594
11/8/2023,6384
11/8/2023,14346
11/8/2023,14364
11/10/2023,1595
11/10/2023,3193
11/10/2023,6385
11/10/2023,3191
11/10/2023,6384
11/10/2023,12765
11/10/2023,1596
11/10/2023,6380
11/10/2023,4789
11/10/2023,4783
11/10/2023,12764
11/10/2023,12766
11/10/2023,3194
11/10/2023,15957
11/10/2023,4788
11/10/2023,2038
11/10/2023,23510
11/10/2023,14522
11/10/2023,9930
11/13/2023,3191
11/13/2023,7982
11/13/2023,12769
11/13/2023,12771
11/13/2023,4787
11/13/2023,6384
11/13/2023,1597
11/13/2023,13017
11/13/2023,5965
11/13/2023,4939
11/13/2023,12131
11/13/2023,13948
11/15/2023,17548
11/15/2023,11172
11/15/2023,14371
11/15/2023,4786
11/15/2023,1596
11/15/2023,2064
11/15/2023,17274
11/15/2023,21550
11/15/2023,2038
11/15/2023,6155
11/15/2023,8205
11/15/2023,5110
11/15/2023,12361
11/15/2023,11190
11/15/2023,13034
11/15/2023,1019
11/18/2023,17553
11/18/2023,4787
11/18/2023,3195
11/20/2023,13168
11/20/2023,12196
11/20/2023,5018
11/20/2023,28463
11/20/2023,1990
11/20/2023,3064
11/20/2023,2959
11/20/2023,18090
11/20/2023,8007
11/20/2023,7045
11/22/2023,14364
11/22/2023,11166
11/23/2023,12069
11/23/2023,8985
11/23/2023,4017
11/25/2023,4790
11/25/2023,11173
11/25/2023,3193
11/25/2023,3192
11/25/2023,1597
11/25/2023,1595
11/25/2023,11173
11/25/2023,3195
11/25/2023,9565
11/25/2023,1594
11/25/2023,7968
11/25/2023,4786
11/25/2023,15942
11/25/2023,6374
11/29/2023,7966
11/29/2023,4783
12/1/2023,4783
12/1/2023,12750
12/1/2023,6379
12/1/2023,3193
12/1/2023,1593
12/1/2023,12757
12/1/2023,7974
12/1/2023,12774
12/1/2023,14374
12/1/2023,4787
12/1/2023,7193
12/1/2023,12044
12/1/2023,7247
12/1/2023,22811
12/1/2023,983
12/1/2023,6915
12/1/2023,5119
12/1/2023,16201
12/1/2023,21487
12/1/2023,24968
12/1/2023,10148
12/1/2023,15000
12/1/2023,10148
12/2/2023,1594
12/2/2023,2111
12/2/2023,1596
12/2/2023,6385
12/2/2023,6377
12/2/2023,1596
12/4/2023,1597
12/4/2023,9583
12/4/2023,6390
12/4/2023,14365
12/4/2023,4790
12/7/2023,26551
12/7/2023,4076
12/7/2023,3044
12/7/2023,16329
12/7/2023,20038
12/7/2023,27955
12/7/2023,2007
12/9/2023,15956
12/9/2023,6379
12/11/2023,11171
12/11/2023,1596
12/11/2023,12768
12/11/2023,9571
12/11/2023,3195
12/11/2023,1597
12/11/2023,6383
12/11/2023,3190
12/11/2023,1594
12/11/2023,12762
12/11/2023,14357
12/12/2023,20000
12/12/2023,4128
12/12/2023,2094
12/12/2023,7212
12/12/2023,16566
12/14/2023,8207
12/14/2023,20466
12/14/2023,2035
12/14/2023,10142
12/14/2023,983
12/14/2023,8167
12/14/2023,11312
12/14/2023,11156
12/14/2023,27532
12/15/2023,4791
12/15/2023,12769
12/15/2023,14357
12/15/2023,6386
12/15/2023,1596
12/15/2023,3194
12/15/2023,6384
12/15/2023,1597
12/15/2023,1594
12/15/2023,17552
12/15/2023,11169
12/15/2023,14364
12/15/2023,3191
12/15/2023,1595
12/15/2023,3193
12/15/2023,9581
12/16/2023,3194
12/16/2023,1596
12/16/2023,14370
12/16/2023,15948
12/19/2023,24548
12/19/2023,1005
12/19/2023,5064
12/19/2023,28124
12/19/2023,1997
12/19/2023,3058
12/19/2023,4955
12/19/2023,2041
12/19/2023,12151
12/19/2023,5191
12/19/2023,11958
12/27/2023,12744
12/27/2023,1593
12/27/2023,6382
12/27/2023,4785
12/27/2023,14361
12/27/2023,4496
12/27/2023,5075
12/27/2023,1597
12/27/2023,1595
12/27/2023,1598
12/27/2023,1596
12/27/2023,3189
12/27/2023,15965
12/27/2023,4791
12/27/2023,14373
12/27/2023,11176
12/27/2023,4788
12/27/2023,12772
12/27/2023,1597
